"Event","FrameOffset","Value","SourceCategory","SourceReference"
"000335","0x04A","00","recorder RX","RX 01 04 payload 0x45"
"000335","0x04B","00","recorder RX","RX 01 04 payload 0x46"
"000335","0x04C","04","recorder RX","RX 01 04 payload 0x47"
"000335","0x04D","06","recorder RX","RX 01 04 payload 0x48"
"000335","0x04E","00","recorder RX","RX 01 04 payload 0x49"
"000335","0x04F","00","recorder RX","RX 01 04 payload 0x4A"
"000335","0x050","00","recorder RX","RX 01 04 payload 0x4B"
"000335","0x051","00","recorder RX","RX 01 04 payload 0x4C"
"000335","0x052","00","recorder RX","RX 01 04 payload 0x4D"
"000335","0x053","00","recorder RX","RX 01 04 payload 0x4E"
"000335","0x054","00","recorder RX","RX 01 04 payload 0x4F"
"000335","0x055","00","recorder RX","RX 01 04 payload 0x50"
"000335","0x056","00","recorder RX","RX 01 04 payload 0x51"
"000335","0x057","00","recorder RX","RX 01 04 payload 0x52"
"000335","0x058","00","recorder RX","RX 01 04 payload 0x53"
"000335","0x059","00","recorder RX","RX 01 04 payload 0x54"
"000335","0x05A","00","recorder RX","RX 01 04 payload 0x55"
"000335","0x05B","00","recorder RX","RX 01 04 payload 0x56"
"000335","0x05C","00","recorder RX","RX 01 04 payload 0x57"
"000335","0x05D","00","recorder RX","RX 01 04 payload 0x58"
"000335","0x05E","00","recorder RX","RX 01 04 payload 0x59"
"000335","0x05F","00","recorder RX","RX 01 04 payload 0x5A"
"000335","0x060","00","recorder RX","RX 01 04 payload 0x5B"
"000335","0x061","00","recorder RX","RX 01 04 payload 0x5C"
"000335","0x062","00","recorder RX","RX 01 04 payload 0x5D"
"000335","0x063","00","recorder RX","RX 01 04 payload 0x5E"
"000335","0x064","00","recorder RX","RX 01 04 payload 0x5F"
"000335","0x065","00","recorder RX","RX 01 04 payload 0x60"
"000335","0x066","00","recorder RX","RX 01 04 payload 0x61"
"000335","0x067","00","recorder RX","RX 01 04 payload 0x62"
"000335","0x068","00","recorder RX","RX 01 04 payload 0x63"
"000335","0x069","00","recorder RX","RX 01 04 payload 0x64"
"000335","0x06A","00","recorder RX","RX 01 04 payload 0x65"
"000335","0x06B","00","recorder RX","RX 01 04 payload 0x66"
"000335","0x06C","00","recorder RX","RX 01 04 payload 0x67"
"000335","0x06D","00","recorder RX","RX 01 04 payload 0x68"
"000335","0x06E","00","recorder RX","RX 01 04 payload 0x69"
"000335","0x06F","00","recorder RX","RX 01 04 payload 0x6A"
"000335","0x070","00","recorder RX","RX 01 04 payload 0x6B"
"000335","0x071","00","recorder RX","RX 01 04 payload 0x6C"
"000335","0x072","00","recorder RX","RX 01 04 payload 0x6D"
"000335","0x073","00","recorder RX","RX 01 04 payload 0x6E"
"000335","0x074","00","recorder RX","RX 01 04 payload 0x6F"
"000335","0x075","00","recorder RX","RX 01 04 payload 0x70"
"000335","0x076","00","recorder RX","RX 01 04 payload 0x71"
"000335","0x077","03","recorder RX","RX 01 04 payload 0x72"
"000335","0x078","02","recorder RX","RX 01 04 payload 0x73"
"000335","0x079","00","recorder RX","RX 01 04 payload 0x74"
"000335","0x07A","00","recorder RX","RX 01 04 payload 0x75"
"000335","0x07B","00","recorder RX","RX 01 04 payload 0x76"
"000335","0x07C","00","recorder RX","RX 01 04 payload 0x77"
"000335","0x07D","00","recorder RX","RX 01 04 payload 0x78"
"000335","0x07E","00","recorder RX","RX 01 04 payload 0x79"
